Export:,Graph,,,
File:,weight-shift1,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
110,2026-03-27,09:17:52,181.871797,260.258198
111,2026-03-27,09:17:52,181.467079,261.421719
112,2026-03-27,09:17:52,180.368598,262.140798
113,2026-03-27,09:17:52,179.490523,263.705424
114,2026-03-27,09:17:52,176.881632,266.588952
115,2026-03-27,09:17:52,171.176002,270.234914
116,2026-03-27,09:17:52,170.550878,272.38852
117,2026-03-27,09:17:52,165.17768,277.693063
118,2026-03-27,09:17:52,161.719628,278.918011
119,2026-03-27,09:17:52,161.325752,282.10146
120,2026-03-27,09:17:52,160.921051,284.620027
121,2026-03-27,09:17:52,160.173074,284.33095
122,2026-03-27,09:17:52,160.469363,286.733893
123,2026-03-27,09:17:52,159.128774,285.559529
124,2026-03-27,09:17:52,159.93458,282.632628
125,2026-03-27,09:17:52,158.276016,285.588443
126,2026-03-27,09:17:52,156.805346,285.368021
127,2026-03-27,09:17:52,152.957016,284.620027
128,2026-03-27,09:17:52,148.375183,282.224313
129,2026-03-27,09:17:52,145.632579,282.119531
130,2026-03-27,09:17:52,140.244933,283.6697
131,2026-03-27,09:17:52,134.322503,282.751884
132,2026-03-27,09:17:52,131.095691,284.685068
133,2026-03-27,09:17:52,130.091157,286.770036
134,2026-03-27,09:17:52,125.758644,288.200966
135,2026-03-27,09:17:52,124.418056,292.735829
136,2026-03-27,09:17:52,120.417975,293.758426
137,2026-03-27,09:17:52,121.639317,296.670852
138,2026-03-27,09:17:52,121.599568,299.048495
139,2026-03-27,09:17:52,125.935695,300.786557
140,2026-03-27,09:17:52,125.86704,301.13706
141,2026-03-27,09:17:52,127.962842,299.615824
142,2026-03-27,09:17:52,126.763178,301.288828
143,2026-03-27,09:17:52,128.840909,300.83356
144,2026-03-27,09:17:52,129.711747,300.602277
145,2026-03-27,09:17:52,132.70368,300.277091
146,2026-03-27,09:17:52,135.670312,300.941955
147,2026-03-27,09:17:52,139.431907,302.044033
148,2026-03-27,09:17:52,141.982994,304.790268
149,2026-03-27,09:17:52,150.445677,303.86161
150,2026-03-27,09:17:52,158.90114,305.393706
151,2026-03-27,09:17:52,160.230886,308.161594
152,2026-03-27,09:17:52,164.491129,309.906884
153,2026-03-27,09:17:52,166.655579,311.876228
154,2026-03-27,09:17:52,171.920364,314.022622
155,2026-03-27,09:17:52,174.03423,317.715537
156,2026-03-27,09:17:52,180.328841,317.33975
157,2026-03-27,09:17:52,182.692044,319.099498
158,2026-03-27,09:17:52,187.418432,320.197978
159,2026-03-27,09:17:52,193.048161,320.544884
160,2026-03-27,09:17:52,196.71581,319.677652
161,2026-03-27,09:17:52,201.709589,319.471687
162,2026-03-27,09:17:52,207.491103,318.889901
163,2026-03-27,09:17:52,212.82093,316.837479
164,2026-03-27,09:17:52,217.843607,317.513203
165,2026-03-27,09:17:52,226.580919,314.98739
166,2026-03-27,09:17:52,233.103181,312.364042
167,2026-03-27,09:17:52,243.16301,309.809348
168,2026-03-27,09:17:52,254.888631,307.243795
169,2026-03-27,09:17:52,261.031475,307.623213
170,2026-03-27,09:17:52,273.374991,301.165975
171,2026-03-27,09:17:52,283.575744,297.180352
172,2026-03-27,09:17:52,295.315806,293.480175
173,2026-03-27,09:17:52,307.883376,289.928167
174,2026-03-27,09:17:52,320.938726,284.186411
175,2026-03-27,09:17:52,332.765548,277.414829
176,2026-03-27,09:17:52,347.923921,272.088617
177,2026-03-27,09:17:52,358.323411,264.811133
178,2026-03-27,09:17:52,370.865664,259.734241
179,2026-03-27,09:17:52,384.094501,254.483912
180,2026-03-27,09:17:52,394.963716,248.012234
181,2026-03-27,09:17:52,406.530341,240.507115
182,2026-03-27,09:17:52,416.022858,233.533183
183,2026-03-27,09:17:52,426.397065,224.300828
184,2026-03-27,09:17:52,434.259916,216.730669
185,2026-03-27,09:17:52,439.445186,203.328413
186,2026-03-27,09:17:52,443.701832,196.105143
187,2026-03-27,09:17:52,448.666714,184.043475
