Export:,Graph,,,
File:,walk,,,
Units:,N/cm²,,,
Graphed Value:,Peak Pressure,,,
Frame,Date,Time,Left Insole,Right Insole
143,2026-03-27,09:20:49,0,9.655353
144,2026-03-27,09:20:49,0,9.553009
145,2026-03-27,09:20:49,0,9.655353
146,2026-03-27,09:20:49,0,9.655353
147,2026-03-27,09:20:49,0,9.418346
148,2026-03-27,09:20:49,0,9.418346
149,2026-03-27,09:20:49,0,9.321388
150,2026-03-27,09:20:49,0,9.184032
151,2026-03-27,09:20:49,0,9.318695
152,2026-03-27,09:20:49,0,9.184032
153,2026-03-27,09:20:49,0,9.318695
154,2026-03-27,09:20:49,0,9.318695
155,2026-03-27,09:20:49,0,9.318695
156,2026-03-27,09:20:49,0,9.318695
157,2026-03-27,09:20:49,0,9.558396
158,2026-03-27,09:20:49,0,9.558396
159,2026-03-27,09:20:49,0,9.558396
160,2026-03-27,09:20:49,0,9.558396
161,2026-03-27,09:20:49,0,9.558396
162,2026-03-27,09:20:49,0,9.558396
163,2026-03-27,09:20:49,0,9.558396
164,2026-03-27,09:20:49,0,9.80079
165,2026-03-27,09:20:49,0,9.80079
166,2026-03-27,09:20:49,0,10.043183
167,2026-03-27,09:20:49,0,10.043183
168,2026-03-27,09:20:49,0,10.043183
169,2026-03-27,09:20:49,0,10.043183
170,2026-03-27,09:20:49,0,9.80079
171,2026-03-27,09:20:49,0,9.80079
172,2026-03-27,09:20:49,0,9.80079
173,2026-03-27,09:20:49,0,9.80079
174,2026-03-27,09:20:49,0,9.80079
175,2026-03-27,09:20:49,0,9.80079
176,2026-03-27,09:20:49,0,9.80079
177,2026-03-27,09:20:49,0,9.80079
178,2026-03-27,09:20:49,0,9.943533
179,2026-03-27,09:20:49,0,9.943533
180,2026-03-27,09:20:49,0,9.943533
181,2026-03-27,09:20:49,0,9.943533
182,2026-03-27,09:20:49,0,10.185926
183,2026-03-27,09:20:49,0,9.943533
184,2026-03-27,09:20:49,0,10.185926
185,2026-03-27,09:20:49,0,10.185926
186,2026-03-27,09:20:49,0,9.943533
187,2026-03-27,09:20:49,0,9.943533
188,2026-03-27,09:20:49,0,9.943533
189,2026-03-27,09:20:49,0,9.943533
190,2026-03-27,09:20:49,0,9.943533
191,2026-03-27,09:20:49,0,9.943533
192,2026-03-27,09:20:49,0,9.943533
193,2026-03-27,09:20:49,0,9.703832
194,2026-03-27,09:20:49,0,9.703832
195,2026-03-27,09:20:49,0,9.703832
196,2026-03-27,09:20:49,0,9.703832
197,2026-03-27,09:20:49,0,9.703832
198,2026-03-27,09:20:49,0,9.703832
199,2026-03-27,09:20:49,0,9.703832
200,2026-03-27,09:20:49,0,9.703832
201,2026-03-27,09:20:49,0,9.703832
202,2026-03-27,09:20:49,0,9.219044
203,2026-03-27,09:20:49,0,9.461438
204,2026-03-27,09:20:49,0,9.461438
205,2026-03-27,09:20:49,0,9.219044
206,2026-03-27,09:20:49,0,9.219044
207,2026-03-27,09:20:50,0,9.219044
208,2026-03-27,09:20:50,0,8.982037
209,2026-03-27,09:20:50,0,8.982037
210,2026-03-27,09:20:50,0,8.739643
211,2026-03-27,09:20:50,0,8.739643
212,2026-03-27,09:20:50,0,8.739643
213,2026-03-27,09:20:50,0,8.739643
214,2026-03-27,09:20:50,0,8.499943
215,2026-03-27,09:20:50,0,8.499943
216,2026-03-27,09:20:50,0,8.499943
217,2026-03-27,09:20:50,0,8.499943
218,2026-03-27,09:20:50,0,8.499943
219,2026-03-27,09:20:50,0,8.499943
220,2026-03-27,09:20:50,0,8.499943
221,2026-03-27,09:20:50,0,8.499943
222,2026-03-27,09:20:50,0,8.499943
223,2026-03-27,09:20:50,0,8.257549
224,2026-03-27,09:20:50,0,8.257549
225,2026-03-27,09:20:50,0,7.775455
226,2026-03-27,09:20:50,0,7.533061
227,2026-03-27,09:20:50,0,7.533061
228,2026-03-27,09:20:50,0,7.05366
229,2026-03-27,09:20:50,0,7.29336
230,2026-03-27,09:20:50,0,7.29336
231,2026-03-27,09:20:50,0,7.05366
232,2026-03-27,09:20:50,0,7.29336
