Export:,Graph,,,
File:,walk,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
125,2026-03-27,09:20:49,0,444.641317
126,2026-03-27,09:20:49,0,446.476948
127,2026-03-27,09:20:49,0,446.943076
128,2026-03-27,09:20:49,0,450.415602
129,2026-03-27,09:20:49,0,450.729997
130,2026-03-27,09:20:49,0,450.148211
131,2026-03-27,09:20:49,0,449.812164
132,2026-03-27,09:20:49,0,448.475207
133,2026-03-27,09:20:49,0,445.602521
134,2026-03-27,09:20:49,0,446.675685
135,2026-03-27,09:20:49,0,450.581827
136,2026-03-27,09:20:49,0,447.683858
137,2026-03-27,09:20:49,0,450.74442
138,2026-03-27,09:20:49,0,453.870074
139,2026-03-27,09:20:49,0,454.242263
140,2026-03-27,09:20:49,0,456.82224
141,2026-03-27,09:20:49,0,458.433852
142,2026-03-27,09:20:49,0,459.167371
143,2026-03-27,09:20:49,0,460.200828
144,2026-03-27,09:20:49,0,461.41853
145,2026-03-27,09:20:49,0,461.863006
146,2026-03-27,09:20:49,0,460.63441
147,2026-03-27,09:20:49,0,457.111317
148,2026-03-27,09:20:49,0,455.730988
149,2026-03-27,09:20:49,0,454.975783
150,2026-03-27,09:20:49,0,452.337977
151,2026-03-27,09:20:49,0,452.99921
152,2026-03-27,09:20:49,0,453.436458
153,2026-03-27,09:20:49,0,449.938648
154,2026-03-27,09:20:49,0,451.120241
155,2026-03-27,09:20:49,0,450.086784
156,2026-03-27,09:20:49,0,448.074102
157,2026-03-27,09:20:49,0,447.040646
158,2026-03-27,09:20:49,0,444.691917
159,2026-03-27,09:20:49,0,446.198731
160,2026-03-27,09:20:49,0,448.229467
161,2026-03-27,09:20:49,0,445.121902
162,2026-03-27,09:20:49,0,444.644948
163,2026-03-27,09:20:49,0,447.817537
164,2026-03-27,09:20:49,0,446.69737
165,2026-03-27,09:20:49,0,447.192413
166,2026-03-27,09:20:49,0,445.674774
167,2026-03-27,09:20:49,0,444.276356
168,2026-03-27,09:20:49,0,442.184193
169,2026-03-27,09:20:49,0,441.587983
170,2026-03-27,09:20:49,0,438.664698
171,2026-03-27,09:20:49,0,443.593437
172,2026-03-27,09:20:49,0,443.008053
173,2026-03-27,09:20:49,0,443.419983
174,2026-03-27,09:20:49,0,447.261068
175,2026-03-27,09:20:49,0,449.075013
176,2026-03-27,09:20:49,0,449.226781
177,2026-03-27,09:20:49,0,449.855536
178,2026-03-27,09:20:49,0,451.662253
179,2026-03-27,09:20:49,0,450.437288
180,2026-03-27,09:20:49,0,450.932331
181,2026-03-27,09:20:49,0,447.954847
182,2026-03-27,09:20:49,0,448.280067
183,2026-03-27,09:20:49,0,446.119216
184,2026-03-27,09:20:49,0,444.175189
185,2026-03-27,09:20:49,0,444.86537
186,2026-03-27,09:20:49,0,441.548209
187,2026-03-27,09:20:49,0,444.807541
188,2026-03-27,09:20:49,0,445.64949
189,2026-03-27,09:20:49,0,444.926797
190,2026-03-27,09:20:49,0,444.55101
191,2026-03-27,09:20:49,0,447.062332
192,2026-03-27,09:20:49,0,445.790398
193,2026-03-27,09:20:49,0,446.205959
194,2026-03-27,09:20:49,0,447.550145
195,2026-03-27,09:20:49,0,447.297211
196,2026-03-27,09:20:49,0,447.130987
197,2026-03-27,09:20:49,0,445.830138
198,2026-03-27,09:20:49,0,446.270983
199,2026-03-27,09:20:49,0,447.878963
200,2026-03-27,09:20:49,0,445.898793
201,2026-03-27,09:20:49,0,446.075878
202,2026-03-27,09:20:49,0,446.820223
203,2026-03-27,09:20:49,0,446.722688
204,2026-03-27,09:20:49,0,444.464266
205,2026-03-27,09:20:49,0,442.202247
206,2026-03-27,09:20:49,0,442.578068
207,2026-03-27,09:20:50,0,437.298826
208,2026-03-27,09:20:50,0,437.183201
209,2026-03-27,09:20:50,0,435.130745
210,2026-03-27,09:20:50,0,435.184943
211,2026-03-27,09:20:50,0,437.147058
212,2026-03-27,09:20:50,0,438.877891
213,2026-03-27,09:20:50,0,441.761403
214,2026-03-27,09:20:50,0,443.71629
215,2026-03-27,09:20:50,0,444.897882
216,2026-03-27,09:20:50,0,446.090335
217,2026-03-27,09:20:50,0,447.08042
218,2026-03-27,09:20:50,0,446.856366
219,2026-03-27,09:20:50,0,446.137304
220,2026-03-27,09:20:50,0,449.165354
221,2026-03-27,09:20:50,0,448.507718
222,2026-03-27,09:20:50,0,451.467114
223,2026-03-27,09:20:50,0,448.934106
224,2026-03-27,09:20:50,0,447.261068
225,2026-03-27,09:20:50,0,446.516723
226,2026-03-27,09:20:50,0,444.858142
227,2026-03-27,09:20:50,0,446.032506
228,2026-03-27,09:20:50,0,453.515939
229,2026-03-27,09:20:50,0,460.442902
230,2026-03-27,09:20:50,0,468.475609
231,2026-03-27,09:20:50,0,471.575945
232,2026-03-27,09:20:50,0,472.609368
233,2026-03-27,09:20:50,0,473.404348
234,2026-03-27,09:20:50,0,473.968045
235,2026-03-27,09:20:50,0,471.890306
236,2026-03-27,09:20:50,0,470.625601
237,2026-03-27,09:20:50,0,469.042904
238,2026-03-27,09:20:50,0,468.60569
239,2026-03-27,09:20:50,0,468.1829
240,2026-03-27,09:20:50,0,463.691409
241,2026-03-27,09:20:50,0,459.228797
242,2026-03-27,09:20:50,0,450.289152
243,2026-03-27,09:20:50,0,442.223933
244,2026-03-27,09:20:50,0,430.715137
245,2026-03-27,09:20:50,0,420.012113
246,2026-03-27,09:20:50,0,409.113949
247,2026-03-27,09:20:50,0,397.29439
248,2026-03-27,09:20:50,0,384.824389
249,2026-03-27,09:20:50,0,370.088773
250,2026-03-27,09:20:50,0,360.979305
251,2026-03-27,09:20:50,0,354.124594
252,2026-03-27,09:20:50,0,345.502906
253,2026-03-27,09:20:50,0,339.367291
254,2026-03-27,09:20:50,0,329.083426
255,2026-03-27,09:20:50,0,317.567401
256,2026-03-27,09:20:50,0,301.866982
257,2026-03-27,09:20:50,0,286.289451
258,2026-03-27,09:20:50,0,273.299107
259,2026-03-27,09:20:50,0,259.474078
260,2026-03-27,09:20:50,3.270165,239.863937
261,2026-03-27,09:20:50,7.259406,221.793104
262,2026-03-27,09:20:50,11.989403,203.238072
263,2026-03-27,09:20:50,16.31108,184.950448
264,2026-03-27,09:20:50,20.849563,167.537268
265,2026-03-27,09:20:50,26.114348,148.010222
266,2026-03-27,09:20:50,32.069303,128.945699
267,2026-03-27,09:20:50,40.441649,113.574115
268,2026-03-27,09:20:50,51.079624,95.640593
269,2026-03-27,09:20:50,59.296593,80.352121
270,2026-03-27,09:20:50,65.132301,66.960704
271,2026-03-27,09:20:50,71.593141,54.259455
272,2026-03-27,09:20:50,76.915738,40.528372
273,2026-03-27,09:20:50,83.307919,26.587709
274,2026-03-27,09:20:50,90.68657,17.608305
275,2026-03-27,09:20:50,100.450085,8.798733
276,2026-03-27,09:20:50,115.926466,3.071426
277,2026-03-27,09:20:50,136.197875,1.723612
278,2026-03-27,09:20:50,161.343824,1.528486
279,2026-03-27,09:20:50,193.626316,1.528486
280,2026-03-27,09:20:50,217.251012,1.528486
281,2026-03-27,09:20:50,236.207131,1.528486
282,2026-03-27,09:20:50,249.623828,1.528486
283,2026-03-27,09:20:50,257.927524,1.329747
284,2026-03-27,09:20:50,267.860886,1.329747
285,2026-03-27,09:20:50,282.603731,1.329747
286,2026-03-27,09:20:50,299.894041,1.329747
287,2026-03-27,09:20:50,313.805797,1.131008
288,2026-03-27,09:20:50,329.029228,1.131008
289,2026-03-27,09:20:50,345.31503,1.131008
290,2026-03-27,09:20:50,362.475259,1.131008
291,2026-03-27,09:20:50,372.170143,1.131008
292,2026-03-27,09:20:50,383.086327,1.131008
293,2026-03-27,09:20:50,391.093717,0.932268
294,2026-03-27,09:20:50,397.662948,0.932268
295,2026-03-27,09:20:50,402.338753,0.932268
296,2026-03-27,09:20:50,409.475313,0.932268
297,2026-03-27,09:20:50,414.693129,0.932268
298,2026-03-27,09:20:50,418.899175,0.932268
299,2026-03-27,09:20:50,421.761001,0.932268
300,2026-03-27,09:20:50,422.8306,0.932268
301,2026-03-27,09:20:50,420.738404,0.932268
302,2026-03-27,09:20:50,419.123195,0.932268
303,2026-03-27,09:20:50,416.944288,0.932268
304,2026-03-27,09:20:50,416.449246,0.932268
305,2026-03-27,09:20:50,411.646991,0.932268
306,2026-03-27,09:20:50,409.887243,0.932268
307,2026-03-27,09:20:50,404.972961,0
