sample,right_foot,left_foot
319,270.38,289.28
320,270.25,289.01
321,269.98,288.43
322,269.79,288.92
323,269.93,289.19
324,270.06,289.14
325,270.07,289.14
326,270.02,289.1
327,270.15,288.69
328,270.24,289.32
329,270.24,288.96
330,270.33,288.92
331,270.15,288.87
332,270.2,289.14
333,270.2,289.1
334,269.97,289.19
335,270.33,288.97
336,270.2,288.92
337,270.11,289.05
338,270.29,289.23
339,269.93,288.88
340,270.47,288.97
341,270.38,289.01
342,270.29,289.33
343,270.15,289.64
344,270.38,289.05
345,270.47,289.05
346,270.38,289.01
347,270.2,288.83
348,270.61,289.32
349,270.56,289.32
350,270.11,289.19
351,270.34,289.01
352,270.2,289.1
353,270.24,289.19
354,269.88,289.06
355,270.02,289.14
356,269.79,289.28
357,270.29,289.33
358,270.61,289.1
359,270.47,289.55
360,269.84,289.55
361,269.71,289.01
362,270.29,289.1
363,270.51,289.19
364,270.38,289.32
365,270.2,288.64
366,270.29,288.96
367,270.2,288.83
368,270.15,289.01
369,270.29,288.96
370,269.83,288.92
371,269.83,289.14
372,270.1,289.28
373,269.79,289.41
374,270.29,289.05
375,270.29,288.87
376,270.02,289.05
377,270.11,288.96
378,270.02,289.28
379,269.88,289.19
380,270.24,288.61
381,270.33,289.23
382,270.11,289.19
383,269.93,288.87
384,269.52,288.83
385,270.2,288.69
386,270.24,288.87
387,269.92,288.92
388,270.11,288.78
389,269.92,288.87
390,270.01,288.69
391,269.88,289.1
392,270.29,288.64
393,270.29,288.83
394,269.97,289.23
395,269.74,288.96
396,269.48,289.1
397,269.84,289.01
398,269.92,288.82
399,269.97,288.83
400,269.84,289.05
401,269.88,288.88
402,269.47,288.6
403,269.79,288.65
404,269.88,288.69
405,269.97,288.64
406,270.06,288.69
407,269.38,288.69
408,269.87,288.69
409,269.97,288.69
410,269.74,288.69
411,269.92,287.92
412,269.74,288.55
413,269.7,288.82
414,269.79,288.6
415,269.74,288.56
416,269.7,288.1
417,269.38,288.6
418,269.79,288.46
419,269.61,288.51
420,269.79,288.51
421,269.7,288.51
422,269.56,288.51
423,269.52,288.51
424,270.01,288.28
425,269.6,288.69
426,269.83,288.46
427,269.69,288.33
428,269.83,288.37
429,269.88,288.32
430,270.02,288.51
431,269.79,288.37
432,269.83,288.24
433,269.33,288.51
434,269.6,288.28
435,269.83,288.06
436,269.47,288.19
437,269.15,288.55
438,269.7,288.05
439,269.88,288.1
440,269.34,288.46
441,269.38,288.56
442,269.74,287.83
443,269.51,288.24
444,269.47,288.23
445,269.33,288.15
446,269.47,288.01
447,269.43,288.14
448,269.83,287.74
449,269.34,288.01
450,269.47,288.14
451,269.69,288.51
452,269.28,288.32
453,269.15,287.87
454,269.29,288.33
455,269.56,288.19
456,269.47,287.65
457,269.28,287.88
458,269.42,288.28
459,269.47,287.83
460,269.51,287.65
461,269.78,288.06
462,269.69,287.83
463,269.74,287.61
464,269.73,288.1
465,269.51,287.51
466,269.6,288.1
467,269.56,288.15
468,269.2,288.1
469,269.38,288.15
470,269.47,287.51
471,269.78,287.56
472,269.24,287.69
473,269.33,288.19
474,269.83,288.01
