sample,left_foot,right_foot
319,0.0,409.05
320,0.0,410.41
321,0.0,411.19
322,0.0,410.14
323,0.0,410.15
324,0.0,413.35
325,0.0,411.02
326,0.0,411.37
327,0.0,413.05
328,0.0,413.38
329,0.0,415.06
330,0.0,415.62
331,0.0,418.47
332,0.0,417.23
333,0.0,419.85
334,0.0,421.23
335,0.0,419.12
336,0.0,422.4
337,0.0,425.23
338,0.0,424.73
339,0.0,427.4
340,0.0,430.17
341,0.0,430.4
342,0.0,433.28
343,0.0,433.42
344,0.0,435.65
345,0.0,437.37
346,0.0,439.77
347,0.0,443.12
348,0.0,443.5
349,0.0,444.28
350,0.0,446.01
351,0.0,445.88
352,0.0,445.38
353,0.0,445.59
354,0.0,447.48
355,0.0,446.14
356,0.0,448.0
357,0.0,446.8
358,0.0,447.52
359,0.0,447.86
360,0.0,451.33
361,0.0,451.6
362,0.0,455.08
363,0.0,451.36
364,0.0,452.3
365,0.0,452.92
366,0.0,451.91
367,0.0,451.21
368,0.0,448.05
369,0.0,447.25
370,0.0,445.77
371,0.0,443.41
372,0.0,443.92
373,0.0,442.76
374,0.0,441.62
375,0.0,441.04
376,0.0,442.23
377,0.0,440.67
378,0.0,438.52
379,0.0,438.31
380,0.0,436.36
381,0.0,435.46
382,0.0,436.22
383,0.0,433.28
384,0.0,436.21
385,1.26,438.69
386,1.45,442.29
387,1.26,444.57
388,1.81,446.9
389,7.64,447.01
390,24.1,448.66
391,57.36,450.26
392,98.63,450.56
393,134.5,448.68
394,161.05,447.39
395,180.07,445.93
396,189.61,447.14
397,198.49,446.9
398,202.62,448.05
399,204.46,449.18
400,208.22,449.35
401,215.66,446.83
402,218.66,446.28
403,223.75,442.96
404,227.34,439.12
405,228.81,435.3
406,234.21,429.18
407,236.35,420.51
408,240.24,412.91
409,241.5,404.05
410,243.48,394.9
411,243.54,385.04
412,244.18,373.72
413,248.79,358.09
414,251.63,342.16
415,251.75,327.7
416,253.24,307.79
417,252.9,294.6
418,253.66,281.58
419,253.67,269.35
420,253.63,257.36
421,252.96,245.32
422,245.97,236.34
423,246.25,228.6
424,243.52,219.89
425,240.06,213.13
426,238.67,201.83
427,235.94,197.23
428,234.52,189.58
429,231.65,181.52
430,228.94,178.02
431,228.37,174.63
432,222.91,172.51
433,222.13,175.97
434,224.13,176.4
435,224.28,181.56
436,225.44,183.85
437,226.04,185.47
438,225.51,188.6
439,224.36,192.79
440,222.36,194.61
441,223.12,196.92
442,222.34,198.33
443,223.44,201.74
444,221.75,204.03
445,223.65,207.38
446,223.85,209.15
447,222.91,209.22
448,223.76,211.53
449,223.96,210.98
450,227.67,212.04
451,231.45,212.12
452,236.43,212.49
453,240.92,216.2
454,245.69,219.48
455,250.26,220.7
456,252.53,222.26
457,252.98,223.53
458,257.15,221.72
459,258.63,223.52
460,260.68,222.91
461,262.74,222.51
462,263.27,224.41
463,266.08,221.83
464,268.48,223.12
465,269.85,221.14
466,272.82,218.4
467,281.09,215.73
468,283.94,214.37
469,285.97,208.14
470,289.32,205.68
471,290.59,202.01
472,292.06,196.26
473,293.84,188.5
474,294.53,182.17
475,295.29,179.33
476,297.81,174.45
477,298.02,171.33
478,297.21,169.22
479,298.45,167.67
480,301.13,166.78
481,298.7,165.12
482,299.14,163.8
483,296.8,159.95
484,293.81,156.96
485,293.95,155.07
486,293.27,149.21
487,294.27,145.69
488,293.68,140.43
489,294.37,136.54
490,296.15,134.81
491,296.77,132.09
492,299.52,128.95
493,302.18,125.54
494,303.96,126.87
495,304.75,122.6
496,307.89,122.18
497,309.53,121.61
498,311.81,119.19
499,314.71,120.86
500,315.87,121.46
501,317.34,120.84
502,320.11,122.96
503,323.28,127.52
504,326.21,127.85
505,328.4,127.61
506,332.64,129.56
507,334.84,129.34
508,339.0,129.73
509,342.02,127.78
510,346.41,126.1
511,347.92,122.61
512,349.44,121.35
513,352.16,115.81
514,353.59,112.31
515,354.46,109.76
516,356.77,106.55
517,358.5,103.02
518,358.61,100.03
519,364.1,97.6
520,361.91,89.07
521,365.35,85.38
522,370.53,82.74
523,375.34,78.24
524,379.44,73.38
525,380.29,69.83
526,382.79,65.99
527,384.07,62.89
528,386.9,58.65
529,387.43,52.92
530,388.05,51.82
531,389.08,49.83
532,387.17,46.85
533,387.22,44.77
534,384.56,43.03
535,386.36,41.54
536,384.1,40.79
537,384.95,40.42
538,384.61,39.85
539,384.97,39.08
540,387.1,39.11
541,388.7,38.77
542,388.23,37.67
543,390.17,35.38
544,388.45,34.42
545,390.71,34.04
546,389.64,30.79
547,388.36,29.72
548,390.46,28.76
549,389.76,28.02
550,389.14,23.62
551,388.78,22.32
552,391.1,20.62
553,392.49,18.21
554,393.23,16.74
555,390.78,16.59
556,393.67,16.41
557,392.94,16.56
558,394.08,16.41
559,393.37,15.26
560,391.72,14.69
561,391.91,13.56
562,391.87,13.03
563,391.06,13.04
564,390.05,12.85
565,389.19,12.66
566,387.64,11.85
567,388.74,11.48
568,392.51,11.29
569,391.82,11.1
570,394.45,10.91
571,396.78,9.01
572,395.62,7.74
573,396.89,8.63
574,395.94,8.63
575,392.99,8.48
576,393.56,8.48
577,392.47,8.48
578,392.71,7.55
579,392.8,7.17
580,392.97,7.36
581,395.0,7.17
582,394.73,8.1
583,395.23,7.17
584,398.19,7.35
585,396.22,7.17
586,398.83,7.35
587,399.12,7.17
588,398.91,6.98
589,399.16,7.17
590,397.83,6.76
591,395.48,5.98
592,396.11,5.97
593,395.05,6.97
594,392.95,6.64
595,390.62,5.71
596,389.36,4.9
597,390.52,6.12
598,389.49,4.93
599,390.1,5.75
600,391.53,6.12
601,391.33,6.12
602,390.76,5.93
603,391.98,6.12
604,392.95,6.12
605,390.91,6.12
606,389.13,6.12
607,390.93,5.93
608,389.58,6.12
609,389.02,6.12
610,387.87,6.12
611,385.02,6.12
612,386.01,7.35
613,384.99,7.21
614,386.58,6.12
615,384.85,6.12
616,385.04,6.27
617,385.73,6.27
618,384.65,6.45
619,382.97,6.46
620,383.96,6.46
621,382.5,7.66
622,383.75,7.86
623,383.49,9.13
624,381.2,8.05
625,381.91,10.2
626,381.46,8.05
627,380.63,10.05
628,378.57,8.98
629,379.08,8.05
630,379.78,8.93
631,378.84,9.13
632,377.74,11.13
633,377.84,10.19
634,379.44,10.38
635,377.49,9.12
636,375.66,9.49
637,376.4,10.57
638,377.68,9.49
639,378.94,9.68
640,376.52,11.76
641,378.79,11.61
642,377.23,10.67
643,378.6,10.67
644,376.91,10.86
645,373.23,12.14
646,372.61,15.32
647,371.34,16.45
648,372.44,14.75
649,368.08,16.96
650,369.56,17.33
651,367.57,15.46
652,367.42,16.4
653,367.12,16.4
654,366.62,17.63
655,364.02,17.47
656,362.57,18.75
657,363.4,18.93
658,360.85,20.5
659,356.47,21.05
660,356.57,22.17
661,351.26,22.74
662,347.65,23.89
663,343.86,24.45
664,339.72,25.59
665,333.31,24.77
666,329.92,27.54
667,328.45,27.17
668,324.29,29.7
669,320.19,29.23
670,319.91,30.02
671,316.67,30.99
672,313.08,31.72
673,309.23,32.72
674,306.68,33.57
675,302.99,36.14
676,297.44,38.72
677,299.09,41.27
678,291.85,43.77
