sample,left_foot,right_foot
319,369.61,0.0
320,368.56,0.0
321,366.87,0.0
322,365.94,0.0
323,364.96,0.0
324,362.69,0.0
325,366.43,0.0
326,366.82,0.0
327,368.1,0.0
328,368.42,0.0
329,372.67,0.0
330,374.46,0.0
331,378.63,0.0
332,384.29,0.0
333,387.34,0.0
334,390.18,0.0
335,392.32,0.0
336,394.1,0.0
337,396.55,0.0
338,395.78,0.0
339,396.97,0.0
340,397.63,0.0
341,397.61,0.0
342,400.03,0.0
343,399.73,0.0
344,398.94,0.0
345,399.0,0.0
346,401.4,0.0
347,403.66,0.0
348,408.16,0.0
349,415.25,2.51
350,417.79,23.12
351,423.07,42.6
352,427.41,52.36
353,429.7,59.95
354,431.57,68.75
355,433.87,82.41
356,435.81,94.1
357,434.1,103.48
358,436.88,110.04
359,433.93,118.99
360,431.35,130.52
361,432.56,154.07
362,433.04,198.97
363,435.35,246.11
364,434.72,277.51
365,439.9,297.0
366,440.06,307.34
367,441.14,317.22
368,443.28,335.78
369,444.34,354.25
370,448.89,368.15
371,445.06,380.1
372,443.37,391.0
373,439.22,399.99
374,433.38,409.09
375,423.48,416.86
376,414.69,424.82
377,401.45,429.91
378,387.99,434.35
379,373.53,439.07
380,356.27,441.37
381,335.09,441.95
382,314.88,440.37
383,292.59,443.3
384,271.37,437.25
385,248.32,435.63
386,224.02,430.58
387,197.16,421.76
388,167.64,416.31
389,141.16,411.62
390,120.09,406.05
391,98.64,399.75
392,83.3,393.93
393,73.09,392.37
394,63.0,387.5
395,50.6,385.29
396,33.68,380.32
397,11.14,379.03
398,4.21,376.14
399,0.98,371.79
400,1.19,369.36
401,1.39,365.6
402,1.39,366.15
403,2.45,362.22
404,2.65,362.22
405,2.84,361.33
406,2.84,361.95
407,2.84,366.89
408,2.84,368.85
409,2.84,374.06
410,2.65,374.22
411,2.45,377.47
412,2.45,380.19
413,2.24,381.86
414,0.98,381.03
415,0.98,384.99
416,0.0,386.45
417,0.0,384.34
418,0.0,387.47
419,0.0,388.73
420,0.0,393.19
421,0.0,395.91
422,0.0,397.96
423,0.0,406.99
424,0.0,411.75
425,0.0,418.86
426,0.0,426.13
427,0.0,432.87
428,0.0,434.6
429,0.0,443.32
430,0.0,445.22
431,0.0,448.43
432,0.0,452.68
433,0.0,455.15
434,0.0,455.65
435,0.0,452.79
436,0.0,450.23
437,0.0,450.82
438,0.0,444.6
439,0.0,440.67
440,0.0,438.87
441,0.0,442.67
442,0.0,440.38
443,0.0,439.86
444,0.0,438.76
445,0.0,437.73
446,0.0,431.34
447,0.0,426.75
448,0.0,416.96
449,0.0,405.3
450,0.0,391.18
451,0.0,371.33
452,0.0,350.46
453,0.0,329.03
454,0.0,307.61
455,0.0,284.73
456,0.0,262.07
457,0.0,243.16
458,0.0,218.19
459,0.0,201.42
460,0.0,181.73
461,0.0,160.38
462,0.0,141.54
463,0.0,123.69
464,0.0,106.54
465,0.0,87.35
466,0.95,70.01
467,15.05,53.63
468,42.27,40.31
469,71.32,29.38
470,93.84,23.68
471,106.44,15.46
472,120.6,6.92
473,140.74,5.28
474,160.0,5.08
475,174.21,4.15
476,186.61,4.15
477,198.91,3.09
478,210.78,2.91
479,224.03,2.71
480,241.63,2.71
481,263.62,1.53
482,289.0,1.53
483,312.96,1.33
484,329.53,1.33
485,336.06,1.13
486,343.1,1.13
487,352.6,1.13
488,361.66,1.13
489,367.76,1.13
490,377.04,1.13
491,384.63,1.13
492,391.76,0.93
493,395.93,0.93
494,400.42,0.93
495,399.02,0.93
496,400.6,0.93
497,394.56,0.93
498,393.28,0.93
499,389.9,0.93
500,385.56,0.93
501,383.27,0.93
502,377.35,0.93
503,375.59,0.0
504,376.63,0.0
505,373.59,0.0
506,373.98,0.0
507,372.03,0.0
508,371.45,0.0
509,371.4,0.0
510,367.05,0.0
511,365.06,0.0
512,362.02,0.0
513,360.12,0.0
514,359.1,0.0
515,353.49,0.0
516,351.18,0.0
517,351.6,0.0
518,354.98,0.0
519,355.01,0.0
520,357.23,0.0
521,360.01,0.0
522,363.13,0.0
523,362.92,0.0
524,365.03,0.0
525,365.54,0.0
526,367.3,0.0
527,366.81,0.0
528,369.14,0.0
529,373.32,0.0
530,375.14,0.0
531,377.77,0.0
532,381.61,0.0
533,384.21,0.0
534,388.24,0.0
535,393.49,0.0
536,395.28,0.0
537,398.7,0.0
538,399.11,0.0
539,403.64,0.0
540,406.28,0.0
541,412.71,0.0
542,409.48,0.0
543,408.89,0.0
544,407.33,0.0
545,407.16,0.0
546,407.18,0.0
547,406.92,0.0
548,409.32,0.0
549,413.91,0.0
550,418.45,0.0
551,419.91,0.0
552,427.04,0.0
553,434.15,0.0
554,435.42,0.0
555,442.54,0.0
556,448.06,0.0
557,450.55,0.0
558,456.29,0.0
559,455.66,0.0
560,453.27,0.0
561,450.53,0.0
562,448.53,0.0
563,438.24,0.0
564,433.97,0.0
565,431.45,2.0
566,430.62,7.86
567,429.74,25.93
568,433.82,50.39
569,437.15,77.56
570,436.67,110.9
571,437.56,137.99
572,435.44,167.42
573,436.15,201.63
574,436.94,234.93
575,434.17,259.48
576,433.51,272.6
577,431.24,285.16
578,429.89,299.41
579,428.03,313.36
580,425.75,332.82
